STATE,state,year,wbgt_26_diff,wbgt_30_diff
FL,12,2018,-8.493895907167428,0.294924091651493
FL,12,2019,-11.987112118050533,1.261040199092565
FL,12,2020,-17.01168195423,1.5708326287264023
GA,13,1982,17.747945591197094,0.02504140661847777
GA,13,1983,7.00936423489177,2.303219601366855
GA,13,1984,14.685711121541345,0.014697978479527031
GA,13,1985,13.079482626212446,1.0971729859625026
GA,13,1986,16.85077370477599,2.046434883376106
GA,13,1987,12.02304430001665,0.9126862504499667
GA,13,1988,9.580378430451205,0.29465064709857397
GA,13,1989,14.86717872806792,0.17484202537387575
GA,13,1990,14.783808554364448,0.5579346646654165
GA,13,1991,13.088746276296867,0.2233842784305358
GA,13,1992,15.700044231632333,0.06875189393821035
GA,13,1993,10.116647428444224,1.7675808439640082
GA,13,1994,15.607091935059888,0
GA,13,1995,12.414216246736693,1.803669439739094
GA,13,1996,15.93512411976483,0.08628895879422153
GA,13,1997,14.479927076876322,0.5276460413805026
GA,13,1998,17.303827824151327,1.178560511736586
GA,13,1999,12.098061587652452,1.7941217274982653
GA,13,2000,16.21385499044075,0.2458469928248783
GA,13,2001,18.601749439305994,0.09807016576258376
GA,13,2002,16.44864176933278,0.28205669808996603
GA,13,2003,16.949883996050268,0
GA,13,2004,17.14485535846424,0.07696553344094935
GA,13,2005,15.56350208062291,1.0904148344422593
GA,13,2006,12.769978883474302,0.10064711881168273
GA,13,2007,13.877357499103788,1.5528404874311086
GA,13,2008,16.870958808016802,0.07171014986203486
GA,13,2009,16.997725827655863,0.2383740370418232
GA,13,2010,11.1388747157839,4.144715551222659
GA,13,2011,13.974349369709003,0.5285587305528934
GA,13,2012,10.560340141656845,0.6496738367106352
GA,13,2013,17.270927786225663,0.14672750606017396
GA,13,2014,18.014253810645926,0.20764963015606897
GA,13,2015,12.361595932691607,1.1203358080627832
GA,13,2016,10.34993746119163,1.143949893848714
GA,13,2017,15.745587530220945,0.049709879454639186
GA,13,2018,20.95787145721846,0.0070019477827568495
GA,13,2019,17.223092868553465,0.5810663515006829
GA,13,2020,14.764513559558608,0.06176660800400241
IA,19,1982,1.70095779967183,0.05564924114671164
IA,19,1983,3.2176663423748906,0.9398202250344163
IA,19,1984,1.8796325268319372,0.011401303587914573
IA,19,1985,0.9829658331514644,0
IA,19,1986,1.0188630338515683,0
IA,19,1987,2.04528860761501,0.41594727975841844
