STATE,state,year,fed_prison_type,wbgt_26_prison,wbgt_28_prison,wbgt_30_prison,wbgt_35_prison,wbgt_26_state,wbgt_28_state,wbgt_30_state,wbgt_35_state,wbgt_26_diff,wbgt_28_diff,wbgt_30_diff,wbgt_35_diff
LA,22,1983,USP,82,43,2,0,82.29248516722507,42.877015944635836,1.1240158313338644,0,-0.2924851672250668,0.12298405536416368,0.8759841686661356,0
LA,22,1983,Work camp,82.3112582781457,45.93377483443709,1.5629139072847682,0,82.29248516722507,42.877015944635836,1.1240158313338644,0,0.01877311092063394,3.0567588898012517,0.4388980759509038,0
LA,22,1984,FCI,88.97684210526316,29,0,0,79.02511043578704,18.38876533028703,0.0661892080505922,0,9.951731669476118,10.611234669712971,-0.0661892080505922,0
LA,22,1984,ICE facility,82,24,0,0,79.02511043578704,18.38876533028703,0.0661892080505922,0,2.9748895642129582,5.611234669712971,-0.0661892080505922,0
LA,22,1984,USP,86,29,0,0,79.02511043578704,18.38876533028703,0.0661892080505922,0,6.974889564212958,10.611234669712971,-0.0661892080505922,0
LA,22,1984,Work camp,88.62251655629139,29,0,0,79.02511043578704,18.38876533028703,0.0661892080505922,0,9.597406120504345,10.611234669712971,-0.0661892080505922,0
LA,22,1985,FCI,95.11308270676692,48.54496240601504,2.43187969924812,0,85.93917123096244,27.410231508703923,0.9031416510591344,0,9.173911475804474,21.134730897311115,1.5287380481889858,0
LA,22,1985,ICE facility,86,46,5,0,85.93917123096244,27.410231508703923,0.9031416510591344,0,0.060828769037556185,18.589768491296077,4.096858348940866,0
LA,22,1985,USP,90,42,3,0,85.93917123096244,27.410231508703923,0.9031416510591344,0,4.060828769037556,14.589768491296077,2.0968583489408656,0
LA,22,1985,Work camp,93.37086092715232,44.682119205298015,2.562913907284768,0,85.93917123096244,27.410231508703923,0.9031416510591344,0,7.431689696189878,17.271887696594092,1.6597722562256338,0
LA,22,1986,FCI,112.97684210526316,39.817443609022554,1.5681203007518798,0,113.2289246107231,37.96022875669425,5.218037496655852,0,-0.2520825054599385,1.8572148523283047,-3.6499171959039725,0
LA,22,1986,ICE facility,110,44,3,0,113.2289246107231,37.96022875669425,5.218037496655852,0,-3.228924610723098,6.039771243305751,-2.2180374966558523,0
LA,22,1986,USP,109,33,1,0,113.2289246107231,37.96022875669425,5.218037496655852,0,-4.228924610723098,-4.960228756694249,-4.218037496655852,0
LA,22,1986,Work camp,112.62251655629139,38.24503311258278,1.4370860927152318,0,113.2289246107231,37.96022875669425,5.218037496655852,0,-0.6064080544317108,0.28480435588853226,-3.7809514039406205,0
LA,22,1987,FCI,91.29563909774436,53,1.4318796992481202,0,90.49539526294927,46.28492788812358,1.9979941172435478,0,0.8002438347950829,6.715072111876417,-0.5661144179954276,0
LA,22,1987,ICE facility,90,45,2,0,90.49539526294927,46.28492788812358,1.9979941172435478,0,-0.4953952629492733,-1.2849278881235833,0.002005882756452193,0
LA,22,1987,USP,93,53,2,0,90.49539526294927,46.28492788812358,1.9979941172435478,0,2.5046047370507267,6.715072111876417,0.002005882756452193,0
LA,22,1987,Work camp,91.12582781456953,51.87417218543046,1.5629139072847682,0,90.49539526294927,46.28492788812358,1.9979941172435478,0,0.6304325516202596,5.589244297306877,-0.4350802099587796,0
LA,22,1988,FCI,76.40872180451127,32.249323308270675,1,0,76.87263027056342,31.317466860685126,1.360118434885644,0,-0.4639084660521462,0.9318564475855489,-0.3601184348856441,0
LA,22,1988,ICE facility,77,33,1,0,76.87263027056342,31.317466860685126,1.360118434885644,0,0.12736972943658031,1.6825331393148737,-0.3601184348856441,0
LA,22,1988,USP,73,27,1,0,76.87263027056342,31.317466860685126,1.360118434885644,0,-3.8726302705634197,-4.317466860685126,-0.3601184348856441,0
LA,22,1988,Work camp,74.49668874172185,31.933774834437084,1,0,76.87263027056342,31.317466860685126,1.360118434885644,0,-2.3759415288415653,0.6163079737519581,-0.3601184348856441,0
LA,22,1989,FCI,83.11308270676692,38.54496240601504,0.5681203007518797,0,85.80875734018535,33.248466126399556,0.9757505246936368,0,-2.6956746334184345,5.296496279615482,-0.4076302239417571,0
LA,22,1989,ICE facility,78,34,1,0,85.80875734018535,33.248466126399556,0.9757505246936368,0,-7.808757340185352,0.7515338736004438,0.024249475306363233,0
LA,22,1989,USP,78,34,0,0,85.80875734018535,33.248466126399556,0.9757505246936368,0,-7.808757340185352,0.7515338736004438,-0.9757505246936368,0
LA,22,1989,Work camp,81.93377483443709,37.496688741721854,0.4370860927152318,0,85.80875734018535,33.248466126399556,0.9757505246936368,0,-3.874982505748264,4.248222615322298,-0.538664431978405,0
LA,22,1990,FCI,106.11308270676692,59.54496240601504,3.1362406015037596,0,106.39602708211142,50.461829970731,1.699756628636239,0,-0.2829443753444991,9.083132435284035,1.4364839728675205,0
LA,22,1990,ICE facility,98,48,1,0,106.39602708211142,50.461829970731,1.699756628636239,0,-8.396027082111416,-2.461829970731003,-0.6997566286362391,0
LA,22,1990,USP,100,54,2,0,106.39602708211142,50.461829970731,1.699756628636239,0,-6.3960270821114165,3.538170029268997,0.3002433713637609,0
LA,22,1990,Work camp,104.37086092715232,56.24503311258278,2.8741721854304636,0,106.39602708211142,50.461829970731,1.699756628636239,0,-2.025166154959095,5.783203141851779,1.1744155567942245,0
LA,22,1991,FCI,100.97684210526316,23.226165413533835,0,0,102.59588049596559,29.262114006628767,0,0,-1.6190383907024284,-6.035948593094933,0,0
LA,22,1991,ICE facility,93,17,0,0,102.59588049596559,29.262114006628767,0,0,-9.595880495965588,-12.262114006628767,0,0
LA,22,1991,USP,96,13,0,0,102.59588049596559,29.262114006628767,0,0,-6.595880495965588,-16.262114006628767,0,0
LA,22,1991,Work camp,99.49668874172185,19.741721854304636,0,0,102.59588049596559,29.262114006628767,0,0,-3.0991917542437335,-9.520392152324131,0,0
LA,22,1992,FCI,81.40872180451127,27.817443609022558,0,0,80.39254410024871,27.485712215901085,0.0917802759513562,0,1.0161777042625602,0.3317313931214727,-0.0917802759513562,0
LA,22,1992,ICE facility,74,25,0,0,80.39254410024871,27.485712215901085,0.0917802759513562,0,-6.392544100248713,-2.485712215901085,-0.0917802759513562,0
LA,22,1992,USP,78,21,0,0,80.39254410024871,27.485712215901085,0.0917802759513562,0,-2.3925441002487133,-6.485712215901085,-0.0917802759513562,0
LA,22,1992,Work camp,80.05960264900662,26.24503311258278,0,0,80.39254410024871,27.485712215901085,0.0917802759513562,0,-0.3329414512420925,-1.2406791033183033,-0.0917802759513562,0
LA,22,1993,FCI,101.40872180451127,54.272481203007516,2.1362406015037596,0,103.4337141729226,53.00176141012893,2.1697922448839644,0,-2.0249923684113327,1.2707197928785874,-0.033551643380204776,0
LA,22,1993,ICE facility,98,53,2,0,103.4337141729226,53.00176141012893,2.1697922448839644,0,-5.433714172922606,-0.0017614101289282758,-0.16979224488396438,0
LA,22,1993,USP,98,52,1,0,103.4337141729226,53.00176141012893,2.1697922448839644,0,-5.433714172922606,-1.0017614101289283,-1.1697922448839644,0
